,ID,azimuth,dis,x,y,z
28765,15,41.71,2.64,1.754136331,1.968107768,0.138410796
28789,16,41.71,2.65,1.762949146,1.977995579,0.045208379
28417,1,41.53,2.67,1.70995477,1.930714311,-0.690866799
28441,2,41.53,2.66,1.718619817,1.940498037,-0.597003598
28465,3,41.53,2.64,1.718194823,1.940018175,-0.503722179
28489,4,41.53,2.63,1.722272778,1.944622605,-0.411241294
28513,5,41.53,2.62,1.724203128,1.946802167,-0.31856694
28537,6,41.53,2.61,1.723865617,1.946421083,-0.227667083
28561,7,41.53,2.61,1.728081684,1.951181455,-0.136837946
28585,8,41.53,2.61,1.730196676,1.953569498,-0.045669201
28609,9,41.53,2.79,1.786973638,2.017676511,0.720976222
28633,10,41.53,2.77,1.789543689,2.020578362,0.622652767
28657,11,41.53,2.7,1.757347162,1.984225182,0.514374747
28681,12,41.53,2.69,1.761495977,1.988909619,0.421272418
28705,13,41.53,2.66,1.750500253,1.976494319,0.323757732
28729,14,41.53,2.62,1.730479983,1.953889381,0.228375378
28753,15,41.53,2.64,1.747944692,1.973608828,0.138410796
28777,16,41.53,2.64,1.750097244,1.97603928,0.045037782
28428,1,41.35,2.65,1.691117672,1.921574308,-0.685691767
28452,2,41.35,2.65,1.706077065,1.938572288,-0.594759224
28476,3,41.35,2.64,1.712091607,1.94540646,-0.503722179
28500,4,41.35,2.62,1.709629773,1.94260914,-0.409677639
28524,5,41.35,2.61,1.711521018,1.944758115,-0.317351036
28548,6,41.35,2.6,1.71116087,1.944348888,-0.226794795
28572,7,41.35,2.61,1.721943349,1.956600746,-0.136837946
28596,8,41.35,2.61,1.724050829,1.958995422,-0.045669201
28620,9,41.35,2.77,1.767861768,2.008776686,0.715807933
28644,10,41.35,2.75,1.770312037,2.011560865,0.61815708
28668,11,41.35,2.68,1.738133726,1.974997463,0.510564564
28692,12,41.35,2.68,1.748713899,1.987019446,0.419706349
28716,13,41.35,2.64,1.731167381,1.967081781,0.321323463
28740,14,41.35,2.62,1.724333129,1.959316193,0.228375378
28764,15,41.35,2.62,1.728540833,1.964097301,0.137362229
28788,16,41.35,2.63,1.737275098,1.974021826,0.044867184
28416,1,41.17,2.65,1.685072533,1.926877619,-0.685691767
28440,2,41.17,2.63,1.687148425,1.929251399,-0.590270475
28464,3,41.17,2.63,1.69950948,1.943386245,-0.50181414
28488,4,41.17,2.61,1.697016481,1.940535504,-0.408113984
28512,5,41.17,2.6,1.698868833,1.942653666,-0.316135131
28536,6,41.17,2.6,1.705044084,1.949715054,-0.226794795
28560,7,41.17,2.59,1.702640218,1.946966238,-0.135789379
28584,8,41.17,2.59,1.704724073,1.949349123,-0.045319245
28608,9,41.17,2.77,1.761542296,2.014320665,0.715807933
28632,10,41.17,2.73,1.751154834,2.00244262,0.613661392
28656,11,41.17,2.67,1.725458131,1.973058483,0.508659472
28680,12,41.17,2.67,1.735961147,1.985068664,0.418140281
28704,13,41.17,2.65,1.73151309,1.979982319,0.322540598
28728,14,41.17,2.63,1.724727155,1.972222613,0.22924704
28752,15,41.17,2.62,1.722361919,1.969517971,0.137362229
28776,16,41.17,2.63,1.731064963,1.979469886,0.044867184
28055,1,40.985,2.64,1.67250689,1.925016697,-0.683104251
28079,2,40.985,2.63,1.68091036,1.934688897,-0.590270475
28103,3,40.985,2.62,1.686787591,1.941453454,-0.499906102
28127,4,40.985,2.6,1.684263991,1.938548849,-0.406550329
28151,5,40.985,2.6,1.692587433,1.948128938,-0.316135131
28175,6,40.985,2.59,1.692206237,1.947690189,-0.225922508
28199,7,40.985,2.59,1.696344874,1.952453665,-0.135789379
28223,8,40.985,2.59,1.698421024,1.954843265,-0.045319245
28247,9,40.985,2.75,1.742357476,2.005413105,0.710639645
28271,10,40.985,2.73,1.744680111,2.008086404,0.613661392
28295,11,40.985,2.68,1.725516916,1.98603001,0.510564564
28319,12,40.985,2.66,1.723064914,1.983207812,0.416574212
28343,13,40.985,2.64,1.718601138,1.97807011,0.321323463
28367,14,40.985,2.61,1.705282845,1.962741062,0.227503716
28391,15,40.985,2.61,1.709444062,1.967530527,0.136837946
28415,16,40.985,2.62,1.718106861,1.977501208,0.044696586
28043,1,40.81,2.65,1.672932421,1.937427138,-0.685691767
28067,2,40.81,2.62,1.668624562,1.932438195,-0.588026101
28091,3,40.81,2.62,1.6808499,1.946596389,-0.499906102
28115,4,40.81,2.59,1.671880048,1.936208382,-0.404986674
28139,5,40.81,2.58,1.673655255,1.938264253,-0.313703323
28163,6,40.81,2.58,1.679738856,1.945309686,-0.22505022
28187,7,40.81,2.58,1.683847001,1.95006734,-0.135265096
28211,8,40.81,2.58,1.685907855,1.95245402,-0.045144267
28235,9,40.81,2.74,1.72991063,2.003413741,0.708055501
28259,10,40.81,2.74,1.744906905,2.020780964,0.615909236
28283,11,40.81,2.67,1.713027062,1.983860839,0.508659472
28307,12,40.81,2.65,1.710544637,1.980985937,0.415008144
28331,13,40.81,2.63,1.706064523,1.975797505,0.320106329
